Date,Open,High,Low,Close,Volume,Adj Close
2016-07-11,117.330002,117.809998,117.040001,117.529999,30200,117.529999
2016-07-08,116.089996,117.300003,115.769997,117.279999,29500,117.279999
2016-07-07,115.769997,116.160004,115.32,115.68,10200,115.68
2016-07-06,114.970001,115.550003,114.440002,115.489998,42000,115.489998
2016-07-05,115.099998,115.620003,114.959999,115.239998,91300,115.239998
2016-07-01,115.400002,115.82,115.330002,115.440002,57000,115.440002
2016-06-30,112.940002,115.349998,112.940002,115.349998,73000,115.349998
2016-06-29,111.660004,112.849998,111.660004,112.800003,26400,112.800003
2016-06-28,110.669998,111.260002,110.080002,111.260002,28500,111.260002
2016-06-27,110.68,110.68,109.220001,109.830002,34400,109.830002
2016-06-24,111.919998,112.879997,110.760002,110.889999,44200,110.889999
2016-06-23,114.440002,114.620003,114.199997,114.620003,26700,114.620003
2016-06-22,113.970001,114.400002,113.669998,113.709999,24900,113.709999
2016-06-21,114.160004,114.339996,114.029999,114.089996,26000,114.089996
2016-06-20,114.389999,115.239998,114.389999,114.550003,22300,113.892003
2016-06-17,113.809998,113.839996,113.129997,113.660004,21500,113.007116
2016-06-16,113.010002,113.870003,112.599998,113.809998,868500,113.156248
2016-06-15,113.349998,113.980003,113.220001,113.290001,36800,112.639238
2016-06-14,112.989998,113.330002,112.379997,113.190002,51300,112.539814
2016-06-13,114.00,114.330002,113.160004,113.169998,46100,112.519925
2016-06-10,114.190002,114.540001,113.900002,114.290001,27200,113.633494
2016-06-09,114.110001,115.00,114.110001,114.900002,26100,114.239991
2016-06-08,113.980003,114.589996,113.910004,114.540001,31000,113.882058
2016-06-07,113.639999,114.269997,113.639999,113.949997,44400,113.295443
2016-06-06,113.550003,113.82,113.169998,113.660004,26900,113.007116
2016-06-03,113.220001,113.559998,113.089996,113.480003,33900,112.828149
2016-06-02,112.650002,113.160004,112.650002,113.160004,39100,112.509988
2016-06-01,112.150002,112.889999,112.00,112.889999,201900,112.241535
2016-05-31,113.110001,113.239998,112.029999,112.519997,34500,111.873657
2016-05-27,112.669998,113.080002,112.620003,112.889999,24400,112.241535
2016-05-26,112.449997,112.660004,112.410004,112.57,21600,111.923373
