Date,Open,High,Low,Close,Volume,Adj Close
2016-07-11,19.389999,19.440001,19.27,19.27,179100,19.27
2016-07-08,19.190001,19.299999,19.08,19.26,164200,19.26
2016-07-07,19.35,19.43,18.870001,19.01,280600,19.01
2016-07-06,19.08,19.219999,18.889999,19.219999,170300,19.219999
2016-07-05,19.26,19.309999,18.91,19.120001,323400,19.120001
2016-07-01,19.389999,19.58,19.389999,19.549999,186300,19.549999
2016-06-30,19.190001,19.41,19.129999,19.40,164500,19.40
2016-06-29,19.049999,19.360001,19.030001,19.25,352100,19.25
2016-06-28,18.709999,18.870001,18.60,18.870001,136200,18.870001
2016-06-27,18.700001,18.700001,18.219999,18.360001,285700,18.360001
2016-06-24,18.959999,19.190001,18.84,18.91,314000,18.91
2016-06-23,19.48,19.629999,19.379999,19.629999,116700,19.629999
2016-06-22,19.48,19.48,19.27,19.280001,179900,19.280001
2016-06-21,19.139999,19.43,19.10,19.40,96600,19.40
2016-06-20,19.26,19.33,19.190001,19.200001,186600,19.200001
2016-06-17,19.00,19.07,18.93,19.02,293900,19.02
2016-06-16,18.85,19.00,18.58,18.959999,358600,18.838999
2016-06-15,19.00,19.27,18.92,19.049999,74000,18.928425
2016-06-14,19.030001,19.16,18.860001,19.09,173800,18.96817
2016-06-13,19.09,19.34,19.02,19.110001,134300,18.988043
2016-06-10,19.41,19.51,19.15,19.190001,176700,19.067532
2016-06-09,19.549999,19.68,19.459999,19.620001,98900,19.494789
2016-06-08,19.91,19.969999,19.68,19.73,182000,19.604085
2016-06-07,19.469999,19.809999,19.389999,19.75,144900,19.623958
2016-06-06,19.10,19.35,19.030001,19.35,104300,19.226511
2016-06-03,18.98,19.049999,18.799999,18.91,71700,18.789319
2016-06-02,18.860001,18.959999,18.75,18.959999,86500,18.838999
2016-06-01,18.799999,19.049999,18.719999,19.030001,117600,18.908554
2016-05-31,19.120001,19.25,18.889999,19.00,259900,18.878744
2016-05-27,19.030001,19.07,18.889999,19.07,73900,18.948297
2016-05-26,19.23,19.290001,19.00,19.040001,121400,18.91849
2016-05-25,18.92,19.16,18.92,19.129999,183400,19.007914
2016-05-24,18.85,18.90,18.700001,18.809999,84200,18.689957
2016-05-23,18.690001,18.809999,18.60,18.74,56500,18.620404
2016-05-20,18.76,18.809999,18.620001,18.780001,57000,18.660149
2016-05-19,18.530001,18.690001,18.309999,18.68,100000,18.560787
2016-05-18,18.90,18.92,18.549999,18.67,104400,18.550851
2016-05-17,18.790001,19.02,18.73,18.860001,298900,18.739639
2016-05-16,18.700001,18.83,18.68,18.790001,103500,18.670086
2016-05-13,18.639999,18.709999,18.43,18.469999,158100,18.352126
2016-05-12,18.860001,18.950001,18.59,18.700001,131900,18.58066
2016-05-11,18.60,18.799999,18.42,18.65,138600,18.530978
2016-05-10,18.360001,18.610001,18.360001,18.610001,229300,18.491234
2016-05-09,18.48,18.48,18.030001,18.25,660000,18.133531
2016-05-06,18.459999,18.74,18.42,18.52,66100,18.401808
2016-05-05,18.75,18.84,18.440001,18.559999,94700,18.441552
2016-05-04,18.74,18.860001,18.34,18.450001,138500,18.332255
2016-05-03,18.91,18.98,18.59,18.709999,793500,18.590594
2016-05-02,19.200001,19.23,18.950001,19.190001,306700,19.067532
2016-04-29,19.23,19.469999,18.91,19.200001,150300,19.077469
2016-04-28,19.41,19.559999,19.139999,19.219999,256900,19.09734
2016-04-27,19.26,19.530001,19.24,19.50,335600,19.375554
2016-04-26,18.98,19.139999,18.889999,19.139999,89300,19.01785
2016-04-25,19.02,19.059999,18.719999,18.870001,429900,18.749575
2016-04-22,18.85,19.139999,18.85,19.08,128900,18.958234
2016-04-21,18.950001,19.02,18.76,18.82,204600,18.699893
2016-04-20,18.68,19.049999,18.59,18.889999,681700,18.769446
2016-04-19,18.48,18.75,18.360001,18.75,351000,18.63034
2016-04-18,17.700001,18.379999,17.65,18.35,676400,18.232893
2016-04-15,18.219999,18.219999,18.030001,18.07,90800,17.954679
2016-04-14,18.290001,18.32,18.200001,18.309999,98900,18.193147
2016-04-13,18.23,18.299999,18.059999,18.26,192400,18.143467
2016-04-12,17.73,18.27,17.690001,18.16,201800,18.044105
2016-04-11,17.77,17.85,17.639999,17.639999,281000,17.527423
2016-04-08,17.67,17.76,17.60,17.67,102200,17.557232
2016-04-07,17.34,17.469999,17.18,17.33,68600,17.219402
2016-04-06,17.17,17.450001,17.08,17.43,103600,17.318764
2016-04-05,17.08,17.18,17.01,17.059999,76300,16.951125
2016-04-04,17.32,17.450001,17.15,17.190001,86100,17.080296
2016-04-01,17.26,17.370001,17.190001,17.32,146700,17.209466
2016-03-31,17.52,17.719999,17.459999,17.559999,80200,17.447934
2016-03-30,17.709999,17.74,17.469999,17.559999,122100,17.447934
2016-03-29,17.27,17.530001,17.129999,17.52,116200,17.40819
2016-03-28,17.57,17.57,17.309999,17.42,79900,17.308828
2016-03-24,17.24,17.51,17.09,17.51,253100,17.398254
2016-03-23,17.719999,17.77,17.40,17.43,149500,17.318764
2016-03-22,17.790001,17.969999,17.700001,17.84,59200,17.726148
2016-03-21,17.90,18.01,17.719999,17.889999,233000,17.775828
2016-03-18,18.219999,18.219999,17.809999,17.940001,213900,17.82551
2016-03-17,17.98,18.219999,17.799999,18.08,133600,17.832464
2016-03-16,17.639999,17.84,17.51,17.799999,189900,17.556297
2016-03-15,17.299999,17.49,17.18,17.49,71900,17.250542
2016-03-14,17.50,17.610001,17.360001,17.540001,103700,17.299859
2016-03-11,17.52,17.719999,17.440001,17.66,173900,17.418215
2016-03-10,17.25,17.25,16.940001,17.24,106000,17.003965
2016-03-09,17.209999,17.440001,16.98,17.219999,123100,16.984238
2016-03-08,17.709999,17.709999,16.940001,16.959999,375600,16.727798
2016-03-07,17.549999,17.73,17.26,17.73,286200,17.487256
2016-03-04,17.25,17.549999,17.040001,17.299999,181400,17.063143
2016-03-03,16.91,17.15,16.790001,17.129999,157400,16.89547
2016-03-02,16.34,16.85,16.26,16.85,206900,16.619305
2016-03-01,16.23,16.469999,16.030001,16.41,207400,16.185328
2016-02-29,16.35,16.360001,16.049999,16.10,115300,15.879573
2016-02-26,16.42,16.450001,16.219999,16.24,108500,16.017656
2016-02-25,16.049999,16.139999,15.80,16.120001,113400,15.8993
2016-02-24,15.68,16.120001,15.59,16.10,133700,15.879573
2016-02-23,16.34,16.389999,15.91,15.94,149900,15.721763
2016-02-22,16.58,16.59,16.33,16.459999,163100,16.234643
2016-02-19,16.030001,16.10,15.80,16.10,73100,15.879573
2016-02-18,16.49,16.50,16.09,16.15,161500,15.928888
2016-02-17,16.08,16.41,15.97,16.32,236500,16.096561
2016-02-16,15.97,16.00,15.62,15.85,146000,15.632996
2016-02-12,15.48,15.74,15.37,15.68,187600,15.465323
2016-02-11,15.09,15.40,14.88,15.30,210500,15.090526
2016-02-10,15.41,15.72,15.24,15.37,123600,15.159567
2016-02-09,15.60,15.72,15.19,15.43,182400,15.218746
