Date,Open,High,Low,Close,Volume,Adj Close
2016-07-11,19.290001,19.299999,19.25,19.25,567100,19.25
2016-07-08,19.200001,19.290001,19.18,19.25,509300,19.25
2016-07-07,19.16,19.200001,19.139999,19.17,373200,19.17
2016-07-06,19.1,19.15,19.07,19.15,637900,19.15
2016-07-05,19.17,19.190001,19.1,19.1,1381500,19.1
2016-07-01,19.200001,19.280001,19.15,19.15,375500,19.15
2016-06-30,19.059999,19.200001,19.059999,19.190001,454600,19.190001
2016-06-29,19.1,19.129999,19.07,19.08,733200,19.08
2016-06-28,18.92,19.059999,18.9,19.049999,451500,19.049999
2016-06-27,18.9,18.91,18.83,18.84,1345900,18.84
2016-06-24,18.799999,19.02,18.709999,18.99,1766000,18.99
2016-06-23,19.059999,19.1,19.049999,19.09,335400,19.09
2016-06-22,19.07,19.08,19.02,19.02,417500,19.02
2016-06-21,19.040001,19.049999,19.030001,19.049999,296600,19.049999
2016-06-20,18.969999,19.049999,18.959999,19.049999,619100,19.049999
2016-06-17,18.889999,18.950001,18.879999,18.950001,691300,18.950001
2016-06-16,18.92,18.93,18.84,18.879999,433700,18.879999
2016-06-15,18.889999,18.98,18.879999,18.91,427700,18.91
2016-06-14,18.959999,19,18.92,18.969999,526700,18.883
2016-06-13,18.99,19.01,18.98,19,353900,18.912863
2016-06-10,19.030001,19.049999,18.99,19,419700,18.912863
2016-06-09,19.049999,19.049999,19.01,19.02,451800,18.932772
2016-06-08,19.049999,19.08,19.02,19.040001,543000,18.95268
2016-06-07,19.120001,19.120001,19.059999,19.059999,472800,18.972587
2016-06-06,19.139999,19.18,19.1,19.1,549500,19.012405
2016-06-03,19.040001,19.120001,19.02,19.1,430100,19.012405
2016-06-02,19.049999,19.07,19.01,19.01,770800,18.922817
2016-06-01,18.98,19.049999,18.969999,19.049999,469100,18.962633
2016-05-31,19.02,19.059999,18.969999,19,400500,18.912863
2016-05-27,18.99,19,18.969999,19,212100,18.912863
2016-05-26,18.969999,18.99,18.93,18.99,171300,18.902909
2016-05-25,18.950001,18.959999,18.92,18.959999,414300,18.873045
2016-05-24,18.98,18.98,18.91,18.950001,471500,18.863093
2016-05-23,18.9,18.959999,18.879999,18.959999,404600,18.873045
2016-05-20,18.860001,18.91,18.84,18.91,448400,18.823276
2016-05-19,18.870001,18.879999,18.790001,18.860001,471400,18.773506
2016-05-18,18.92,18.950001,18.860001,18.889999,468700,18.803367
2016-05-17,18.93,18.940001,18.91,18.940001,780900,18.853139
2016-05-16,18.879999,18.93,18.879999,18.92,360800,18.83323
2016-05-13,18.83,18.889999,18.780001,18.879999,251300,18.793412
2016-05-12,18.969999,18.98,18.93,18.950001,316700,18.770519
2016-05-11,18.950001,18.959999,18.9,18.959999,460400,18.780422
2016-05-10,18.959999,18.959999,18.92,18.950001,562000,18.770519
2016-05-09,18.92,18.959999,18.9,18.959999,414000,18.780422
2016-05-06,18.85,18.92,18.85,18.92,275200,18.740802
2016-05-05,18.9,18.9,18.85,18.879999,435000,18.70118
2016-05-04,18.83,18.9,18.83,18.9,283800,18.720991
2016-05-03,18.870001,18.9,18.809999,18.870001,1430600,18.691276
2016-05-02,18.82,18.889999,18.799999,18.889999,451100,18.711085
2016-04-29,18.809999,18.83,18.76,18.82,292900,18.641749
2016-04-28,18.790001,18.799999,18.76,18.799999,342300,18.621938
2016-04-27,18.75,18.799999,18.719999,18.799999,375100,18.621938
2016-04-26,18.73,18.76,18.719999,18.75,216600,18.572412
2016-04-25,18.76,18.780001,18.700001,18.719999,258100,18.542696
2016-04-22,18.75,18.77,18.709999,18.77,636500,18.592223
2016-04-21,18.76,18.76,18.719999,18.75,197100,18.572412
2016-04-20,18.74,18.75,18.700001,18.75,343800,18.572412
2016-04-19,18.66,18.73,18.65,18.73,379700,18.552601
2016-04-18,18.639999,18.68,18.620001,18.66,724700,18.483264
2016-04-15,18.67,18.68,18.620001,18.66,563400,18.483264
2016-04-14,18.74,18.76,18.73,18.76,265800,18.490199
2016-04-13,18.700001,18.74,18.68,18.74,326700,18.470487
2016-04-12,18.67,18.700001,18.66,18.690001,454300,18.421206
2016-04-11,18.639999,18.68,18.620001,18.68,219600,18.41135
2016-04-08,18.610001,18.629999,18.58,18.629999,348800,18.362068
2016-04-07,18.559999,18.629999,18.530001,18.59,609100,18.322644
2016-04-06,18.59,18.639999,18.530001,18.610001,525800,18.342357
